nstep,rx_o1n1,ry_o1n1,rz_o1n1,r_o1n1,rx_o2n2,ry_o2n2,rz_o2n2,r_o2n2,rx_o2n1,ry_o2n1,rz_o2n1,r_o2n1,rx_o1n2,ry_o1n2,rz_o1n2,r_o1n2
0,4.8701582199999995,5.00724213,1.1551591399999999,7.079922843859673,0.65664306,6.26196351,0.13145980999999995,6.297670108100529,7.22850614,5.040447589999999,3.86203117,9.621470661058323,12.75530742,3.7857262100000004,2.83833184,13.604621198318819
1,4.8387145799999995,5.05787814,1.1074623200000002,7.086731464928963,0.7185834299999998,6.3750361,0.09338856999999989,6.4160867237889185,7.21874744,5.01169337,3.8808027800000002,9.606665147420527,12.77604545,3.6945354099999994,2.86672903,13.604964702918355
2,4.796340880000001,5.154644599999999,1.0469758200000001,7.118385010459396,0.7421469599999999,6.3733619,0.07878004999999999,6.416909716903212,7.183415999999999,4.94680911,3.90859796,9.557694482078361,12.72190384,3.7280918099999996,2.94040219,13.57908210804223
3,4.78895209,5.148307529999999,0.9818737499999999,7.099521716616488,0.7872291799999998,6.33725233,0.051400780000000035,6.386167780141586,7.09697714,4.96568027,3.9139173499999997,9.504936301321587,12.673158410000001,3.7767354699999998,2.98344438,13.55631274587096
4,4.65734547,5.14721394,0.82801875,6.990729090832472,0.8389552,6.36274035,0.03323109999999996,6.417898012210258,7.15351775,4.90938314,3.80361443,9.473243464990517,12.649818419999999,3.6938567300000003,3.0088267799999997,13.517230566679801
5,4.606205189999999,5.14668264,0.7304307699999999,6.945429976540192,0.8357930700000002,6.38341767,0.03543704000000003,6.4379986788855605,7.1353976800000005,4.81306334,3.7219447299999997,9.377225140721327,12.577395939999999,3.57632831,3.026951,13.421752686174669
6,4.636870420000001,5.09111909,0.7264249500000002,6.924431679814302,0.8601395300000001,6.37038158,0.07208337999999992,6.4285921864389675,7.028597749999999,4.79648844,3.71320949,9.284148447918353,12.525607700000002,3.5172259500000003,3.05886792,13.364819474637804
7,4.506588829999999,5.0500826,0.7298782800000003,6.807745548499831,0.9428725,6.38293751,0.05640479999999992,6.452447699073917,7.07664563,4.79966629,3.73205666,9.329735086346815,12.52610696,3.4668113799999998,3.05858318,13.352043580921867
8,4.43432931,4.96578007,0.7315067000000002,6.69756300345724,1.0031051,6.40470747,0.021288960000000023,6.482819667223336,7.05636382,4.859436049999999,3.8101815300000004,9.376773025716135,12.49379823,3.42050865,3.05738587,13.309488419723413
9,4.40807484,4.92564393,0.62564792,6.6396180040712585,1.07438848,6.46888171,0.03468867000000009,6.5575867884272485,6.97268242,4.85361649,3.80671244,9.309508728339413,12.45514574,3.31037871,3.14637585,13.266082451037484
10,4.33548627,4.9456547099999995,0.52021563,6.597466635732233,1.09872457,6.47414992,0.07252429999999999,6.567120574608645,6.92436222,4.76828365,3.8121303600000003,9.231232799699853,12.35857306,3.23978844,3.21939043,13.17554674220736
11,4.29065893,4.88106688,0.48920258999999966,6.517199330593194,1.1505980400000002,6.45431252,0.17912213,6.5585143662979295,6.86688964,4.76361348,3.89035932,9.218518446772665,12.308146610000001,3.19036784,3.2220346,13.11679941492428
12,4.20323544,4.8202102700000005,0.4693627499999997,6.41263725795971,1.2707281300000002,6.4776007,0.3128914600000001,6.608476516925419,6.884530679999999,4.7713909,3.94283641,9.257909740350991,12.35849425,3.11400047,3.1605822000000003,13.130828568578607
