nstep,msd_x,msd_y,msd_z
0.0,0.0,0.0,0.0
1.0,0.00014393664696959096,0.00013212927756249486,0.009455926825728076
2.0,0.0002659834810000187,8.964491761005638e-07,0.033930026821102494
3.0,0.0074806031306304255,0.0009063760529664221,0.05917023654544892
4.0,0.028152648512000146,0.004908587158916075,0.06348198718794235
5.0,0.05439697923855994,0.009331438284396872,0.06168474107065685
6.0,0.07630155993711689,0.005480511969030434,0.06214796710960358
7.0,0.08815520962292511,5.596506176039291e-05,0.07717085096481642
8.0,0.09058322381202102,0.005041383407290028,0.10619548021719041
9.0,0.09486645785592038,0.02096044343092838,0.14702812013085154
10.0,0.09111280672704036,0.04432957179589197,0.20110227226471833
11.0,0.08645370558661236,0.06456392345626245,0.25516992528364085
12.0,0.09471477728867563,0.0678563686055027,0.31393290750406555
13.0,0.13083076745272973,0.052391671265753004,0.3569047539148035
14.0,0.16562615994736363,0.030377788410062397,0.39701657115809996
15.0,0.16166348539304035,0.02079796910930008,0.4504253291422756
16.0,0.1265209462667092,0.02598174220356104,0.5479876953968482
17.0,0.08938396977111056,0.03765224343225978,0.6797472191942657
18.0,0.06625872401928995,0.05179415843889002,0.8112451421445902
19.0,0.05648780846028974,0.06597985426639377,0.8841397363977022
20.0,0.06153386282404014,0.06933956584136508,0.9283141940977967
21.0,0.06662753991607238,0.06328409893815604,0.9931272693604437
22.0,0.07497379444836522,0.04983718701715357,1.0445939292122879
23.0,0.08502561453591033,0.03962432225278807,1.1098577620945373
24.0,0.1024807647188689,0.03001948847336886,1.196536787823298
25.0,0.11222030334914006,0.02656813284707574,1.3729174941519846
26.0,0.10898165730169038,0.02630818796004014,1.5825996267605058
27.0,0.09084287625831079,0.026647695907088317,1.7578596076152804
28.0,0.06016497160454037,0.026410052636890155,1.8955171105728406
29.0,0.029900230097248945,0.024163959454712225,2.071552364948546
30.0,0.009066654152240455,0.021557935942964217,2.27309265014841
31.0,0.0024339076906225473,0.013344757190640188,2.473582730698072
32.0,0.0015027632149401226,0.003643911493632425,2.638724774479344
33.0,0.003032472509052113,0.0001653775424064092,2.782672543276803
34.0,0.003450374677212102,0.005338615513588899,2.944974910074126
35.0,0.004941395460403642,0.011299709134007997,3.1431861111508894
36.0,0.007874125613512912,0.011376662782873576,3.32712060829133
37.0,0.014361932392038439,0.006797788131689933,3.4516794506041597
38.0,0.020299407726480194,0.002641746180326433,3.57965151281089
39.0,0.018560531067961638,0.0003255740270688984,3.668503680342468
40.0,0.010604581760102592,2.6342864200900246e-05,3.664200153805203
41.0,0.0025441128966400463,3.1434187824400074e-05,3.539191223442869
42.0,8.885663990441383e-05,0.0005099494338435781,3.4728531155317484
43.0,1.7921844896394726e-05,0.0030469881122209366,3.555481024386823
44.0,0.0013509778069224938,0.004700409153820889,3.751396793278244
45.0,0.0131180005051456,0.00451363879630437,4.0138011239462354
46.0,0.04669724783261161,0.004991962280592334,4.299322503559792
47.0,0.09212270283652882,0.004583740893088848,4.581166742377961
48.0,0.1141216227099665,0.002511845999622416,4.7628695417600015
49.0,0.10883543517266593,0.0005190792145561153,4.8454185317056995
50.0,0.10902632761482293,6.001244543289678e-05,4.769367757454769
51.0,0.13594079610225018,0.0016098230307600096,4.610633905943369
52.0,0.1800170738839567,0.002995680490496096,4.395438334414205
53.0,0.22250598438916025,0.0021214056880384407,4.19832781003898
54.0,0.2456564223660127,0.001425229359884088,4.035380733157004
55.0,0.2655736355942572,0.002842263173894401,3.978488838655801
56.0,0.2860608641376964,0.011956151886756066,4.03982021284416
57.0,0.32175312880843765,0.03751119479892483,4.223098035015774
58.0,0.36281713783644165,0.07958365418306271,4.440493248459885
59.0,0.39725602980625097,0.11699784676827041,4.502897920330758
60.0,0.41211000956820265,0.1317183082962291,4.357636627522091
61.0,0.40221139039390486,0.13129479039521288,4.07067505735396
62.0,0.38108171066578556,0.14538295631996884,3.8542020637003516
63.0,0.36270168990783985,0.17570685904296024,3.7488165751094886
64.0,0.3550871922391255,0.20043243368417615,3.7240893283126004
65.0,0.3805375785801992,0.21365748811638022,3.7205217313171595
66.0,0.4671055427814405,0.22536967427494575,3.7483332024727867
67.0,0.5843666942342169,0.24572037366361024,3.8119802495956616
68.0,0.6485852078204948,0.2665973194761966,3.7964880321957795
69.0,0.6020518774368004,0.28733315672131593,3.6665529040967395
70.0,0.4988129622862864,0.2714334142929981,3.5270038925388856
71.0,0.3986048301955286,0.2180984802030226,3.491567560217269
72.0,0.31445616275848853,0.15206992468687394,3.5227170856206733
73.0,0.23321275019152427,0.10103220787980981,3.587242515362958
74.0,0.15978961320582524,0.05765282170440058,3.6309524300538727
75.0,0.11373489824060255,0.02365507058420261,3.7049281827609994
76.0,0.10053398099248403,0.004571048546820949,3.853252045347444
77.0,0.1053446917181409,1.0617366064898776e-05,4.061424779319337
78.0,0.11444620663502023,0.0017576997555048604,4.322252018707022
79.0,0.14872183463809022,0.004001573298840141,4.577442534957139
80.0,0.22274453310807657,0.0037082351262783452,4.800011918359702
81.0,0.2791745715802735,0.0010679797856016186,4.970152484403854
82.0,0.22889936984780415,0.0001641224896608986,5.129275148269896
83.0,0.12356962877107872,0.0003184875682884008,5.252140980024999
84.0,0.0636180761445379,0.00018649480281610013,5.2959012828832
85.0,0.040991598408992476,0.0027779066242224707,5.271733280332292
86.0,0.03708237300226583,0.006398809655353599,5.271820621505593
87.0,0.04482805151884965,0.007839191707424017,5.392101178589429
88.0,0.06394489068049303,0.006103646875705635,5.560991830290781
89.0,0.08701636261432966,0.002290964410560358,5.743997657830099
90.0,0.10730027051584047,8.78844376088943e-05,5.8306724515365325
91.0,0.12211426813019051,0.001120446415224922,5.800858955087618
92.0,0.12455731204116886,0.004793828636750395,5.63888905608294
93.0,0.1140587497582225,0.005951775330062494,5.457955520864633
94.0,0.10283139740022298,0.002852873791289973,5.369486236766735
95.0,0.11124414201715259,8.720740548100606e-06,5.328718085386657
96.0,0.1650182469063846,0.00695786536699234,5.250341144034044
97.0,0.2514764936194631,0.023113798958772795,5.166398166948289
98.0,0.33416088998358034,0.03844013138840234,5.103056828728622
99.0,0.38035718803410284,0.04894606680425657,4.986081601116673
100.0,0.3801492177562566,0.06236612177041006,4.824769740335223
101.0,0.33690581079137494,0.07242883617112339,4.6547756135504095
102.0,0.28093586094446965,0.07565488445174873,4.646436111372422
103.0,0.2369994179647402,0.07602470575660848,4.659623985247088
104.0,0.21779782001666004,0.08294673026246753,4.67899927385229
105.0,0.22060571827544942,0.08664258773227684,4.728026405958452
106.0,0.24336464213280093,0.07914484716976336,4.833993004999922
107.0,0.297721056212004,0.08625106130979603,4.999344685851673
108.0,0.3669269081058067,0.10974449048224338,5.128479784748384
109.0,0.4011569108628609,0.1317191357783158,5.224446295600754
110.0,0.3770324847626847,0.14937495296911388,5.316784843342393
111.0,0.34106885980122037,0.1620018627797026,5.478051471124537
112.0,0.3309007009512962,0.17164724096302253,5.643168579185284
113.0,0.34138018532070097,0.181673871267552,5.749906521679913
114.0,0.34507172567536426,0.1997284050888256,5.8021660238198445
115.0,0.3340841965200291,0.2281968696241932,5.835196069786503
116.0,0.3250740443020233,0.2531232240690612,5.851212814319681
117.0,0.33110268691595285,0.27299204863468807,5.826511495685903
118.0,0.35214009231804555,0.2865004200238759,5.691817043003584
119.0,0.37723762314269366,0.2916446921123043,5.551414925719047
120.0,0.38681716276691347,0.2884307475650997,5.449194311078882
